Trace
Swept SA
A.18.17,N9030B
95509000,-97.2609024060671
95510000,-98.0484848045911
95511000,-98.0299835228198
95512000,-97.9798812888459
95513000,-98.8953933760712
95514000,-98.137847902902
95515000,-97.8650360127795
95516000,-97.9413223288202
95517000,-95.4344329837144
95518000,-86.0634841918948
95519000,-86.0642471313479
95520000,-95.1284713747616
95521000,-96.2204513555578
95522000,-95.6709823612187
95523000,-94.8533325197336
95524000,-91.5341873169104
95525000,-91.0818176269644
95526000,-93.48080444343
95527000,-97.8649520894397
95528000,-96.8137969979803
95529000,-95.1068267824724
95530000,-94.8833312990352
95531000,-97.9273452780161
95532000,-98.2155532863572
95533000,-97.726966859743
95534000,-97.2483901990238
95535000,-95.8304138187875
95536000,-90.1269226074273
95537000,-90.0575561523489
95538000,-96.0808486943664
95539000,-96.3359222418418
95540000,-96.8622589120773
95541000,-96.7651519784158
95542000,-96.4923400886019
95543000,-96.5092849738651
95544000,-96.8283233651781
95545000,-96.0985260015024
95546000,-95.6369018558379
95547000,-96.2526321417051
95548000,-95.5613708499577
95549000,-95.431892395335
95550000,-95.8580474857889
95551000,-97.0024337779072
95552000,-96.1485672002535
95553000,-96.0637893681879
95554000,-95.7570648197407
95555000,-95.4958114627336
95556000,-92.0865097046141
95557000,-91.9832382202373
95558000,-94.0855255128077
95559000,-95.3092880251895
95560000,-96.8713684091543
95561000,-97.2682342542192
95562000,-96.0328979497189
95563000,-96.7241516121778
95564000,-96.7210617073906
95565000,-95.9465637211712
95566000,-95.7076568607413
95567000,-96.9976959238996
95568000,-95.8872070316973
95569000,-96.7102355965438
95570000,-96.0844726567703
95571000,-94.5501251222308
95572000,-94.5454940797497
95573000,-96.0019912724611
95574000,-95.7800445560761
95575000,-96.2408752447272
95576000,-96.3634033209569
95577000,-96.3973007208762
95578000,-95.8809661869686
95579000,-97.1579055797983
95580000,-96.2839965826376
95581000,-96.7733459481481
95582000,-96.1707000737981
95583000,-96.5344314582543
95584000,-94.8737030031353
95585000,-95.1372528078689
95586000,-95.6936492923778
95587000,-95.6851654056566
95588000,-92.397621154816
95589000,-90.7507629394618
95590000,-91.8396606445513
95591000,-94.7750091554641
95592000,-96.190666199295
95593000,-96.3309173590271
95594000,-96.3871612555391
95595000,-96.6954116829602
95596000,-95.3383102419929
95597000,-89.4629669189486
95598000,-89.4552536010774
95599000,-95.2789535525267
95600000,-97.1415710460923
95601000,-97.0413818370214
95602000,-96.250701904888
95603000,-95.0723953249465
95604000,-94.9305877687695
95605000,-94.755645752141
95606000,-93.3145523071911
95607000,-91.9312515259005
95608000,-92.2996063232708
95609000,-92.4930267334316
95610000,-93.8562774659146
95611000,-92.9970092773925
95612000,-94.1098022462082
95613000,-94.9598083498291
95614000,-94.6808319093571
95615000,-95.2981033328043
95616000,-95.3181304934533
95617000,-95.2980880740153
95618000,-93.170356750544
95619000,-94.0527267457151
95620000,-93.1387405396052
95621000,-90.7574691772548
95622000,-91.0472183227648
95623000,-95.5685424808192
95624000,-96.4470596320349
95625000,-95.8320846561906
95626000,-95.8628997807126
95627000,-97.1567916881961
95628000,-95.7010574344699
95629000,-95.5731201175392
95630000,-97.9096832296487
95631000,-97.8326110859729
95632000,-95.6093215945998
95633000,-95.6093139652053
95634000,-96.2481613165081
95635000,-96.0100326543002
95636000,-97.5536117569767
95637000,-97.1166534435313
95638000,-97.1228103649235
95639000,-98.1030502343805
95640000,-98.2271194484919
95641000,-97.549720765761
95642000,-97.9442749045102
95643000,-96.1718063360058
95644000,-96.5563507087552
95645000,-98.1261291528813
95646000,-97.8456115742743
95647000,-98.2648315457389
95648000,-98.2000885036126
95649000,-97.0972976695887
95650000,-95.713226318751
95651000,-95.7101364139649
95652000,-92.6352920532596
95653000,-89.7430801391642
95654000,-91.3321304321425
95655000,-96.6425781257986
95656000,-95.7440109256939
95657000,-96.0730667119418
95658000,-90.8126907348724
95659000,-90.8096008300872
95660000,-95.1999130251665
95661000,-95.9643783574084
95662000,-95.8279647831425
95663000,-94.9409561159393
95664000,-95.0704193117627
95665000,-94.7020492555515
95666000,-95.1066207888202
95667000,-95.6976928714807
95668000,-95.613685608273
95669000,-95.310050964643
95670000,-96.5338134772972
95671000,-96.1184310918429
95672000,-96.4713821418137
95673000,-96.4205093390525
95674000,-96.5576782234046
95675000,-96.5021820075531
95676000,-96.9144668588939
95677000,-96.7164077767241
95678000,-95.313072204878
95679000,-94.3251037599007
95680000,-94.2541961671201
95681000,-93.8434448243121
95682000,-93.8580780030241
95683000,-94.8121185304697
95684000,-93.9775161744199
95685000,-90.4503021240304
95686000,-90.3585891723697
95687000,-93.9081344605474
95688000,-94.0491561890742
95689000,-94.8536911012769
95690000,-94.7095718385603
95691000,-94.9715805055929
95692000,-95.4925308230846
95693000,-95.54646301304
95694000,-95.353797912895
95695000,-95.3206558230438
95696000,-95.1272201540585
95697000,-94.3542633058022
95698000,-93.9997634888748
95699000,-95.0771026613733
95700000,-95.6096038821977
95701000,-95.1009826662606
95702000,-95.0986633303226
95703000,-95.8230514530628
95704000,-96.1644363408856
95705000,-96.1374588018118
95706000,-94.139961242793
95707000,-95.0693435671336
95708000,-95.9039306645159
95709000,-96.9427413950485
95710000,-96.8941879282149
95711000,-96.7685699471689
95712000,-96.4433517462911
95713000,-96.1535873418576
95714000,-95.0315322878299
95715000,-93.2290039063083
95716000,-92.8405990601019
95717000,-90.4855194091868
95718000,-90.5587234497146
95719000,-89.0960464477564
95720000,-89.1183929443384
95721000,-91.249198913587
95722000,-92.651748657264
95723000,-93.0910034180212
95724000,-92.7349624634188
95725000,-92.5345916748389
95726000,-89.2000350952175
95727000,-89.1206512451197
95728000,-91.1705398559691
95729000,-94.4973754884355
95730000,-93.1687850952705
95731000,-93.0161972046394
95732000,-90.2280197143613
95733000,-89.1668472290065
95734000,-90.0052947998096
95735000,-88.2189483642591
95736000,-87.8004913330087
95737000,-86.5921249389652
95738000,-87.4413604736335
95739000,-88.8947753906271
95740000,-88.7313919067401
95741000,-88.6473846435564
95742000,-87.7411041259774
95743000,-87.4305343627937
95744000,-86.8563995361333
95745000,-86.8571624755864
95746000,-87.5584411621101
95747000,-87.5098800659187
95748000,-87.2964096069342
95749000,-86.2036361694339
95750000,-86.1866760253909
95751000,-83.7198638916016
95752000,-83.7329559326172
95753000,-84.3016738891602
95754000,-84.7617416381837
95755000,-84.0750961303712
95756000,-82.0814514160156
95757000,-81.5235061645508
95758000,-80.4684906005859
95759000,-78.4370880126953
95760000,-76.1960678100586
95761000,-76.129020690918
95762000,-76.4310989379883
95763000,-73.4433364868164
95764000,-72.151741027832
95765000,-72.0546340942383
95766000,-72.6572647094727
95767000,-75.0192565917969
95768000,-74.2385940551758
95769000,-71.7186050415039
95770000,-69.0498809814453
95771000,-64.9138717651367
95772000,-65.1851272583008
95773000,-66.6770706176758
95774000,-66.801139831543
95775000,-67.6357269287109
95776000,-65.4347839355469
95777000,-66.6970825195313
95778000,-67.9277801513672
95779000,-70.1579971313477
95780000,-67.2156982421875
95781000,-67.1324615478516
95782000,-67.3328170776367
95783000,-67.6433792114258
95784000,-67.4160308837891
95785000,-67.5863342285156
95786000,-68.2991714477539
95787000,-67.9423599243164
95788000,-66.2731475830078
95789000,-65.7753143310547
95790000,-67.1000289916992
95791000,-66.1945266723633
95792000,-66.1829605102539
95793000,-64.4135665893555
95794000,-65.8407821655273
95795000,-65.8600387573242
95796000,-65.7922134399414
95797000,-65.7529067993164
95798000,-64.9799499511719
95799000,-64.4620742797852
95800000,-63.904899597168
95801000,-64.156120300293
95802000,-64.6963272094727
95803000,-65.0099716186523
95804000,-66.2560806274414
95805000,-66.3023147583008
95806000,-66.2861251831055
95807000,-65.6950378417969
95808000,-67.1908340454102
95809000,-67.2779159545898
95810000,-66.2113418579102
95811000,-66.2282943725586
95812000,-66.8586654663086
95813000,-67.1669158935547
95814000,-66.9719314575195
95815000,-69.6899642944336
95816000,-70.4205169677734
95817000,-71.5980453491211
95818000,-70.642448425293
95819000,-69.2460479736328
95820000,-69.215217590332
95821000,-66.729133605957
95822000,-65.9816055297852
95823000,-68.1548004150391
95824000,-67.4820251464844
95825000,-69.0833969116211
95826000,-69.0857086181641
95827000,-70.9413909912109
95828000,-71.6018218994141
95829000,-71.1787338256836
95830000,-71.3205261230469
95831000,-71.2835235595703
95832000,-67.4318771362305
95833000,-67.5112457275391
95834000,-72.1728210449219
95835000,-68.0152282714844
95836000,-68.0167617797852
95837000,-71.9238815307617
95838000,-76.4305572509766
95839000,-75.6529769897461
95840000,-76.415901184082
95841000,-79.318115234375
95842000,-79.0275802612305
95843000,-79.5223159790039
95844000,-83.4618072509766
95845000,-83.9195556640625
95846000,-85.1980361938478
95847000,-86.3077468872073
95848000,-84.8273468017579
95849000,-84.5321884155274
95850000,-86.2268066406253
95851000,-85.312828063965
95852000,-85.8792343139651
95853000,-88.4886093139664
95854000,-86.5936050415043
95855000,-84.9798812866212
95856000,-85.156349182129
95857000,-88.9617462158225
95858000,-89.0711746215844
95859000,-92.2508087158479
95860000,-90.7549972534267
95861000,-90.2301864624082
95862000,-90.8651885986423
95863000,-92.885787963912
95864000,-93.5215606690183
95865000,-93.5331115723393
95866000,-92.5096969604828
95867000,-91.1086730957146
95868000,-91.6034164428879
95869000,-93.8490447998986
95870000,-94.689025879085
95871000,-95.206115722922
95872000,-96.1825103765384
95873000,-96.1647796636402
95874000,-95.2723693850452
95875000,-95.5205078128382
95876000,-93.3688888550454
95877000,-90.1614913940485
95878000,-89.4000930786164
95879000,-90.7224960327234
95880000,-94.9247741701361
95881000,-95.7663040165216
95882000,-94.9748535158476
95883000,-95.5350952151858
95884000,-97.2212448132578
95885000,-97.1711425793241
95886000,-96.9746246348205
95887000,-95.4749603274751
95888000,-95.3416290286152
95889000,-97.0385665904387
95890000,-96.6501541145738
95891000,-96.8489761361906
95892000,-97.1279373180546
95893000,-97.3097991956697
95894000,-95.7222824100628
95895000,-95.7222747806683
95896000,-96.3272171026787
95897000,-97.3475341810604
95898000,-96.3187255865613
95899000,-96.1861724859151
95900000,-97.1240310680512
95901000,-96.2239151006777
95902000,-91.6563491821464
95903000,-90.8209686279389
95904000,-92.5556640625348
95905000,-96.0142745976619
95906000,-95.9842147831975
95907000,-94.2109680177021
95908000,-94.3674011231866
95909000,-93.7585906983298
95910000,-93.7847900391519
95911000,-94.5600433351229
95912000,-95.6851654056572
95913000,-95.7121276859387
95914000,-96.4503936774479
95915000,-96.1683349614934
95916000,-97.2395095837834
95917000,-95.3514404299847
95918000,-95.7922363285416
95919000,-96.1952743535949
95920000,-93.83557891855
95921000,-93.4009323120783
95922000,-94.4358901979012
95923000,-92.9778366089349
95924000,-93.7685012818266
95925000,-93.7754364014559
95926000,-93.4694824219452
95927000,-93.4186172486027
95928000,-93.2891387940064
95929000,-93.9503402710976
95930000,-93.8470687867149
95931000,-95.1656188967421
95932000,-95.3282165530263
95933000,-95.3205032351535
95934000,-96.3277206427181
95935000,-95.6934738163043
95936000,-95.3852157595823
95937000,-96.1288757329613
95938000,-95.119331360112
95939000,-95.0754013063928
95940000,-95.1092987063015
95941000,-89.4805603027377
95942000,-88.606651306154
95943000,-89.6547088623085
95944000,-94.3016433717149
95945000,-93.6381149292791
95946000,-93.141822814996
95947000,-96.205093384361
95948000,-93.331382751528
95949000,-93.3660583496742
95950000,-94.3247222901743
95951000,-94.0773391724752
95952000,-93.0207901001474
95953000,-91.5465545654458
95954000,-92.8774337769001
95955000,-93.1633377075751
95956000,-93.6280212403137
95957000,-94.7947616579088
95958000,-94.7223129274296
95959000,-94.4803237916563
95960000,-94.2028884888927
95961000,-95.9383544926537
95962000,-95.9213943486047
95963000,-90.7766189575284
95964000,-89.5035171508823
95965000,-92.5760345459338
95966000,-95.5776596072871
95967000,-95.6631927494009
95968000,-96.680427552093
95969000,-96.2927932745375
95970000,-96.3952789313258
95971000,-95.4635696414372
95972000,-94.2390213013962
95973000,-95.0096511843108
95974000,-95.591476440787
95975000,-95.2231063845467
95976000,-94.7645721437442
95977000,-95.055091858147
95978000,-93.5061035156972
95979000,-93.834388733003
95980000,-94.3299026490616
95981000,-94.5094528199801
95982000,-95.1190185549362
95983000,-96.387481690111
95984000,-94.7568054201103
95985000,-94.7799148561488
95986000,-95.5043106082444
95987000,-95.636848450077
95988000,-95.7732467655475
95989000,-95.7747802738488
95990000,-96.2926406866469
95991000,-94.6927947999841
95992000,-95.2969665530195
95993000,-96.4737167365427
95994000,-96.8451614389228
95995000,-96.7072067269149
95996000,-96.2024307256685
95997000,-95.8510131840298
95998000,-95.2352676394321
95999000,-95.133537292732
96000000,-91.9908752441632
96001000,-92.0617675781489
96002000,-95.6213302615961
96003000,-92.9294891357886
96004000,-90.7007980346764
96005000,-87.9557876586924
96006000,-83.6348190307618
96007000,-84.2174148559571
96008000,-93.2592849732043
96009000,-95.4833374026727
96010000,-95.9942626957992
96011000,-95.9672851567267
96012000,-95.9033126835594
96013000,-96.3371734625472
96014000,-95.3615417483465
96015000,-96.642333985175
96016000,-94.2757034303061
96017000,-91.6100616455247
96018000,-92.6419372558966
96019000,-95.3684387210044
96020000,-94.0475616456172
96021000,-93.9273376465841
96022000,-95.603462219599
96023000,-95.0154647829446
96024000,-92.1571655273694
96025000,-90.9618988037212
96026000,-92.5370712280617
96027000,-95.6550598148284
96028000,-95.2635726931491
96029000,-96.2222366338805
96030000,-95.4269332888893
96031000,-94.0991210938638
96032000,-93.8370971680619
96033000,-94.0004653931719
96034000,-93.1673965454659
96035000,-92.2642059326451
96036000,-93.0764465332551
96037000,-92.0830917358641
96038000,-92.0522537231682
96039000,-92.443733215364
96040000,-92.8136291504331
96041000,-92.2186965942652
96042000,-91.349411010756
96043000,-91.6121902465989
96044000,-92.575477600133
96045000,-92.9330444336403
96046000,-93.7568511963766
96047000,-94.1367645264844
96048000,-92.9646224976063
96049000,-93.911727905372
96050000,-96.1781616216543
96051000,-94.6661605836719
96052000,-94.6669311525197
96053000,-96.0640869145761
96054000,-96.0771789555969
96055000,-95.8035964970026
96056000,-95.7958831791291
96057000,-96.5164184577578
96058000,-95.3265533450183
96059000,-95.614761352903
96060000,-95.1161499025921
96061000,-95.3326950076174
96062000,-94.8140487672868
96063000,-93.7451705933485
96064000,-93.5093460083732
96065000,-92.9752883911614
96066000,-93.14713287359
96067000,-92.2847824096963
96068000,-92.6115264892942
96069000,-90.5369644165113
96070000,-87.5646133422859
96071000,-87.6270217895516
96072000,-92.2123107910424
96073000,-94.4448318482929
96074000,-94.0302276612408
96075000,-94.4972229005451
96076000,-94.7600021364194
96077000,-94.9611358644783
96078000,-95.5190658572718
96079000,-95.9328918461676
96080000,-95.8851089482017
96081000,-94.6821365358226
96082000,-94.9372100832243
96083000,-96.129379273001
96084000,-96.0322723393685
96085000,-91.5479278564614
96086000,-88.6865463256854
96087000,-90.0459442138723
96088000,-94.4755554200738
96089000,-95.371795654599
96090000,-94.2667007447584
96091000,-93.6301422119935
96092000,-95.1398162844326
96093000,-94.7275161745007
96094000,-94.0948181153479
96095000,-93.7495651245988
96096000,-94.0670623780408
96097000,-94.3475646974034
96098000,-94.8330612184616
96099000,-94.1125030518728
96100000,-92.8702316284623
96101000,-93.1769409180249
96102000,-95.1697998049463
96103000,-94.3814315797312
96104000,-94.4060821534644
96105000,-95.4656982425122
96106000,-95.7485198978643
96107000,-95.4171371463089
96108000,-95.645240784064
96109000,-97.0431671153462
96110000,-97.5548629776856
96111000,-97.826889040071
96112000,-96.6986694344295
96113000,-97.1309890758713
96114000,-96.7857360848778
96115000,-97.7313003558487
96116000,-97.1355896007777
96117000,-97.1063003551463
96118000,-97.3282394422723
96119000,-96.6909179695808
96120000,-96.4627990729631
96121000,-97.3074111951806
96122000,-97.0731277476958
96123000,-96.7247924813215
96124000,-96.6631393440751
96125000,-97.9339065573308
96126000,-97.2010269177325
96127000,-95.7237091068411
96128000,-95.3491744998087
96129000,-95.3476257327185
96130000,-94.1145935059746
96131000,-94.1808624268791
96132000,-93.8726043702129
96133000,-93.5712738037869
96134000,-88.4526977539078
96135000,-88.3825683593764
96136000,-92.2087707519799
96137000,-96.3478546148965
96138000,-95.409980774237
96139000,-95.4207611087122
96140000,-95.6380767825972
96141000,-95.930908203589
96142000,-96.5751571662877
96143000,-94.5768890382502
96144000,-94.5183105470321
96145000,-95.4222640994352
96146000,-92.4738006592124
96147000,-89.3403778076202
96148000,-90.1834487915096
96149000,-95.3351516726571
96150000,-94.9351806642787
96151000,-93.5133514405024
96152000,-93.4640197754606
96153000,-93.867828369236
96154000,-92.7380676269932
96155000,-92.9923706055175
96156000,-93.3252792359028
96157000,-93.3537902832674
96158000,-93.6019210816208
96159000,-93.8693313599588
96160000,-93.7583465577049
96161000,-93.8569869996063
96162000,-93.9640960694386
96163000,-94.5089263917575
96164000,-94.4642257691937
96165000,-94.4996643067955
96166000,-94.15672302258
96167000,-93.7467422486221
96168000,-93.7975921631763
96169000,-95.1531372072868
96170000,-96.5957641609288
96171000,-96.8022842416278
96172000,-95.9692230229388
96173000,-96.1241149907725
96174000,-96.3614578253526
96175000,-96.4439086920939
96176000,-97.0288162242214
96177000,-95.4081649783381
96178000,-95.2517166140452
96179000,-94.8055114748052
96180000,-93.2457351685162
96181000,-93.4013977051448
96182000,-93.758964538662
96183000,-94.9519042970941
96184000,-93.1902160645099
96185000,-93.5246658325929
96186000,-93.8537216187467
96187000,-94.8671035768654
96188000,-94.953407287817
96189000,-94.3068389893914
96190000,-95.6092071536829
96191000,-94.7977218629876
96192000,-95.0389175417381
96193000,-95.8665771488793
96194000,-96.3859786993883
96195000,-95.8295745853903
96196000,-95.1953277590531
96197000,-95.088203430419
96198000,-90.0328216552785
96199000,-89.4733352661166
96200000,-91.1301956176875
96201000,-96.146263123106
96202000,-96.496124268294
96203000,-95.987495422848
96204000,-94.2489318848934
96205000,-94.1903533936769
96206000,-94.6442565919699
96207000,-90.9012680053809
96208000,-89.2197265625027
96209000,-90.5043716430736
96210000,-94.5347976686162
96211000,-94.8145294191425
96212000,-94.9987030031568
96213000,-95.7223281864307
96214000,-95.8402252201595
96215000,-94.8938751222799
